国内/海外,ビジネス領域,詳細,6月,7月,8月,9月,10月,11月
国内,🌐 メディア事業,自社直販(Stripe) (有形・無形商品),0件 (0万),0件 (0万),5件 (10万),10件 (20万),15件 (30万),20件 (40万)
国内,🌐 メディア事業,メルカリ (安価実用品フロー),35件 (11.6万),40件 (13.2万),50件 (16.6万),50件 (16.6万),50件 (16.6万),50件 (16.6万)
国内,🌐 メディア事業,SNS広告収益 (YouTube等),0件 (0万),0件 (0万),0件 (0万),- (2.5万),- (5万),- (5万)
海外,🌐 メディア事業,自社直販(Stripe) (越境・リトリート),0件 (0万),0件 (0万),0件 (0万),1件 (5万),3件 (15万),5件 (25万)
海外,🌐 メディア事業,Etsy / Patreon (データ販売等),0件 (0万),0件 (0万),0件 (0万),0件 (0万),0件 (0万),0件 (0万)
国内,🏢 コンサル・代行事業,クラウドファンディング代行,0件 (0万),0件 (0万),0件 (0万),1件 (30万),1件 (30万),1件 (30万)
国内,🏢 コンサル・代行事業,デジタルシフト・SNSコンサル,0件 (0万),1件 (10万),2件 (20万),3件 (30万),3件 (30万),3件 (30万)
海外,🏢 コンサル・代行事業,インバウンドPR動画制作,0件 (0万),0件 (0万),0件 (0万),0件 (0万),1件 (50万),1件 (50万)
国内,合計利益,🚀 月間 合計利益,15.0万,26.6万,55.0万,65.0万,65.0万,65.0万
海外,合計利益,👑 海外事業 合計利益,0.0万,0.0万,0.0万,0.0万,0.0万,0.0万
