領域,カテゴリ,プラットフォーム / タスク,🎯 ゴール (To-Be),🚀 アクション
メディア事業,【システム】自社メディア: ① 設計,世界観を極限まで高めるUIデザインと、集客から決済までの導線設計を完了させる,ワイヤーフレーム作成
メディア事業,【システム】自社メディア: ② 構築,Stripe決済機能を組み込み、有形・無形商品の直販システムを実装する,UI開発・決済テスト
メディア事業,【システム】自社メディア: ③ 公開,本番環境へのデプロイと動作検証を行い、公式ハブとしてローンチする,ローンチ・告知
メディア事業,【外部販路】Creema,アートやプロ作品に価値を感じる層へ、額装アートやプレミアム護符などの「有形商品」を販売,アート作品出品
メディア事業,【外部販路】BOOTH,世界観が深く刺さるオタク・ギーク層へ、3D仏像STLや高解像度壁紙などの「無形商品(デジタル)」を販売,デジタルデータ出品
メディア事業,【集客】SNS: Instagram,フォロワー教育・送客,B2Bのハブとして寺社仏閣との関係を構築しつつ、IG Shop開設とストーリーズでコミュニティを拡大する,寺社関係構築・Shop開設
メディア事業,【集客】SNS: YouTube,権威性とファン構築,長尺動画で圧倒的な権威性を示し、高単価商材（動画講座等）の教育ファネルとして自社サイトへ送客する,長尺教育・導線設計
メディア事業,【集客】SNS: TikTok,認知拡大・バズ狙い,圧倒的映像美でグローバル層へバズを起こし、TikTok Shopを活用したフリクションレスな物販を展開する,TikTok Shop準備
法人支援事業,【営業】B2B直接営業,自社の海外バズ実績を前面に押し出した、高単価で確実に刺さるB2B営業用PDFを完成させる,法人向け営業資料(PDF)作成
法人支援事業,【実績づくり】クラウドソーシング等,「和風・シネマティック」に特化した制作を行い、圧倒的品質で★5の導入事例を作る,ココナラ等でのモニター募集
法人支援事業,【パッケージ化】B2B提案,資金難の寺社向けに、PR動画制作・ページ執筆・SNS集客までを丸投げで請け負う超高単価コンサルパックを定義する,クラファン代行パッケージ設計
